words,frequency
review want better,1
want better idea,1
better idea re,1
idea re paying,1
space dolphin machine,1
dolphin machine gun,1
great something similar,1
something similar minecraft,1
less dimensions minecraft,1
need create weapons,1
create weapons shelter,1
start chopping trees,1
chopping trees gathering,1
trees gathering wood,1
10 10 listen,1
10 listen guide,1
listen guide say,1
guide say obvious,1
stacks items larger,1
items larger 64,1
monster called mourning,1
called mourning wood,1
terraria ftw weapons,1
ftw weapons new,1
weapons new mobs,1
new mobs every,1
mobs every update,1
every update awesome,1
update awesome minecraft,1
remeber check pc,1
check pc requirements,1
pc requirements needed,1
requirements needed run,1
ok type usually,1
spend 4 billion,1
4 billion years,1
billion years update,1
tell family love,1
family love gotta,1
love gotta hard,1
gotta hard know,1
hard know wat,1
know wat mean,1
better minecraft survival,1
minecraft survival hardcore,1
survival hardcore mode,1
don care 100,1
meant completed inside,1
bastion action rpg,1
action rpg level,1
rpg level structure,1
level structure supergiant,1
moves beautifully stunning,1
beautifully stunning fantasy,1
stunning fantasy themed,1
fantasy themed enviroments,1
filled various types,1
various types enemies,1
levels kid visits,1
kid visits bastion,1
visits bastion able,1
bastion able build,1
able build six,1
build six different,1
six different structures,1
allows access different,1
access different weapons,1
potions secret attacks,1
secret attacks unlocked,1
narrated logan cunningham,1
particularly enjoyed music,1
enjoyed music darren,1
music darren korb,1
darren korb fit,1
korb fit well,1
fit well story,1
cthulhu saves world,1
used job friends,1
better ninja gaidon,1
ninja gaidon hardmode,1
mostly citylife rpg,1
logs altis life,1
hears pew pew,1
thinks hes safe,1
hes safe gets,1
safe gets robbed,1
respawns tries different,1
tries different controls,1
buys license car,1
license car gun,1
buys gun walks,1
gun walks around,1
decides kill man,1
kill man looking,1
man looking wrong,1
shoots cop back,1
cop back gets,1
back gets killed,1
gets killed 2,1
killed 2 seconds,1
gets gun runs,1
gun runs around,1
runs around kills,1
around kills 2,1
kills 2 group,1
2 group getting,1
group getting sniped,1
2 hours grinding,1
hours grinding gets,1
grinding gets 30k,1
walks drug deal,1
drug deal unknowingly,1
pays 10k medic,1
10k medic revive,1
gets ride back,1
ride back city,1
back city shot,1
city shot trying,1
shot trying help,1
trying help someone,1
help someone cuffs,1
finds gunstore losing,1
gunstore losing 2,1
losing 2 hours,1
2 hours work,1
hours work prepared,1
work prepared rob,1
prepared rob people,1
meets guy trying,1
guy trying help,1
guy explains nothing,1
gets shot head,1
shot head broke,1
destroys monitors pc,1
realistic beautiful graphics,1
beautiful graphics nice,1
graphics nice player,1
nice player base,1
player base nice,1
base nice community,1
nice community cons,1
die bullet gun,1
bullet gun right,1
gun right place,1
wish least die,1
least die 2,1
die 2 head,1
find people shooting,1
know rage point,1
boom boom boom,1
averaged 20 fps,1
20 fps brand,1
fps brand new,1
brand new gtx,1
new gtx 970,1
gtx 970 g1,1
11 10 want,1
10 want refund,1
69 13 ign,1
cs go players,1
go players don,1
players don stand,1
don stand chance,1
requires actual tactics,1
actual tactics fighting,1
tactics fighting ai,1
mod community awsome,1
community awsome bring,1
awsome bring biggest,1
bring biggest upgrade,1
biggest upgrade arma,1
upgrade arma ii,1
far greatest survival,1
greatest survival mod,1
run around shooting,1
around shooting everything,1
capacity know fire,1
optional rp gameplay,1
pve giant world,1
giant world oppertunities,1
world oppertunities love,1
oppertunities love smell,1
love smell napalm,1
smell napalm morning,1
arma ii find,1
ii find favorite,1
find favorite mod,1
ticket ride favourite,1
ride favourite board,1
favourite board ten,1
board ten years,1
ten years now,1
addaptation totally worth,1
totally worth getting,1
perfect mix luck,1
mix luck strategy,1
making challenging yet,1
goal finish destination,1
finish destination tickets,1
new york los,1
york los angeles,1
claiming routes board,1
routes board eventually,1
board eventually let,1
eventually let path,1
let path going,1
path going city,1
going city city,1
city city ticket,1
claim routes need,1
routes need collect,1
need collect train,1
collect train cards,1
train cards colours,1
cards colours needed,1
picking choice face,1
choice face cards,1
face cards face,1
cards face deck,1
face deck colours,1
deck colours available,1
colours available use,1
pretty straight forward,1
straight forward hang,1
forward hang fast,1
extra rules add,1
rules add little,1
add little challenge,1
little challenge two,1
challenge two boards,1
two boards way,1
making worth getting,1
online hit miss,1
though problems others,1
devs constantly working,1
constantly working fixing,1
working fixing issues,1
single player bots,1
player bots boring,1
bots boring repetitive,1
bot way accustomed,1
way accustomed fast,1
bots definitely new,1
definitely new players,1
new players though,1
see high score,1
high score mess,1
want little extra,1
little extra challenge,1
achievements quite tricky,1
hunters aware achievement,1
aware achievement take,1
achievement take forever,1
dlc adds achievements,1
base 25 achievements,1
adds extra 5,1
europe 1912 adds,1
1912 adds 10,1
bekame stephen king,1
killed local shadow,1
local shadow people,1
hope steam allow,1
steam allow discard,1
allow discard future,1
real life situations,1
naked crying baby,1
gt controller support,1
controller support options,1
go use xpadder,1
evolved past stage,1
past stage timesink,1
stage timesink timeblackhole,1
binding isaac review,1
classic room presents,1
room presents cgr,1
presents cgr undertow,1
cgr undertow review,1
undertow review binding,1
review binding isaac,1
binding isaac pc,1
isaac pc developed,1
pc developed team,1
developed team meat,1
team meat published,1
meat published headup,1
binding isaac takes,1
isaac takes replayability,1
randomly generated concepts,1
generated concepts rogue,1
concepts rogue mixes,1
rogue mixes addictive,1
mixes addictive nature,1
addictive nature old,1
nature old school,1
old school shooters,1
school shooters top,1
shooters top zelda,1
top zelda create,1
zelda create truly,1
create truly superb,1
truly superb experience,1
experience made better,1
made better fantastic,1
better fantastic music,1
fantastic music strange,1
music strange aesthetic,1
strange aesthetic tries,1
aesthetic tries balance,1
tries balance cute,1
balance cute disgusting,1
cute disgusting grotesque,1
binding isaac doesn,1
isaac doesn break,1
doesn break genre,1
break genre defining,1
genre defining barriers,1
killed worm trapped,1
worm trapped poop,1
trapped poop 10,1
poop 10 10,1
d recommend rebirth,1
recommend rebirth whatever,1
rebirth whatever instead,1
dont think worth,1
think worth buying,1
m people strives,1
people strives achievements,1
afterbirth dlc rebirth,1
dlc rebirth starts,1
rebirth starts sway,1
absolutely love boi,1
mention fact makes,1
fact makes great,1
makes great topic,1
great topic theory,1
topic theory episodes,1
cop 15 remaining,1
switched positive made,1
positive made cop,1
made cop 15,1
almost gta except,1
gta except free,1
don know m,1
now p2w g1,1
p2w g1 bought,1
g1 bought p2w,1
made cups toothpicks,1
crash simulator 2005,1
muffled rap music,1
rap music distance,1
use controller 0,1
controller 0 10,1
great product keys,1
product keys work,1
darts bowling strip,1
bowling strip club,1
strip club bar,1
smile 7 10,1
trying log social,1
log social club,1
trying log windows,1
log windows live,1
guy posted hits,1
posted hits dead,1
need change something,1
change something bios,1
city bich mod,1
bich mod mod,1
mod mod city,1
might bit slow,1
bit slow beggining,1
gta gta iv,1
things start shape,1
wild ride starts,1
went strip club,1
strip club batman,1
club batman touched,1
batman touched stripper,1
touched stripper got,1
stripper got thrown,1
got thrown nobody,1
thrown nobody throws,1
nobody throws batman,1
throws batman grabs,1
batman grabs rpg,1
grabs rpg blows,1
rpg blows living,1
blows living hell,1
living hell place,1
parachute stickybombs lmg,1
20 minutes windows,1
minutes windows live,1
windows live happened,1
asked sign hotmail,1
sign hotmail account,1
hotmail account save,1
account save progress,1
deleted never looked,1
never looked back,1
loved flatout 2,1
think graphics dated,1
windows live cancer,1
prepared uploading every,1
uploading every race,1
every race complete,1
race complete leaderboards,1
killing floor fps,1
floor fps zombie,1
fps zombie survival,1
zombie survival people,1
survival people tactical,1
people tactical flair,1
tactical flair strategic,1
flair strategic mind,1
strategic mind compared,1
mind compared shoot,1
em style l4d,1
feels cross nazi,1
cross nazi zombies,1
nazi zombies l4d,1
start easy normal,1
try aptly named,1
10 10 zombie,1
10 zombie based,1
zombie based dosh,1
based dosh simulator,1
ll know hell,1
gonna short wave,1
short wave defense,1
wave defense survival,1
defense survival simply,1
survival simply run,1
simply run around,1
run around map,1
around map kill,1
map kill zombies,1
kill zombies spend,1
zombies spend money,1
spend money shop,1
money shop buy,1
shop buy guns,1
buy guns theres,1
guns theres objective,1
theres objective modes,1
objective modes simple,1
modes simple price,1
simple price hours,1
price hours pals,1
hours pals go,1
pals go something,1
go something lonely,1
something lonely gamer,1
asus nvidia geforce,1
nvidia geforce 8800,1
geforce 8800 gt,1
204 hours beat,1
hours beat 4,1
beat 4 times,1
4 times tell,1
clint eastwood disgruntled,1
eastwood disgruntled alpaca,1
disgruntled alpaca shoots,1
alpaca shoots angry,1
shoots angry wasps,1
angry wasps terrorizes,1
wasps terrorizes peckerheads,1
trials hd monster,1
hd monster trucks,1
mad fps aimbot,1
fps aimbot skills,1
throw chickens enemies,1
falling death simulator,1
death simulator 2014,1
remarkably ve 100,1
simply don spend,1
don spend hours,1
spend hours collecting,1
hours collecting every,1
collecting every minute,1
every minute collectable,1
minute collectable item,1
collectable item story,1
item story finished,1
difference mass effect,1
completed quick runthrough,1
immediately started 100,1
ship shepard mass,1
shepard mass effect,1
dead space released,1
space released 6,1
released 6 years,1
6 years ago,1
yet capable immersing,1
capable immersing dark,1
immersing dark atmosphere,1
dark atmosphere ishimura,1
taking inspiration films,1
inspiration films ridley,1
films ridley scott,1
ridley scott alien,1
weaves tale horror,1
tale horror survival,1
issac completely mute,1
completely mute throughout,1
adds affect putting,1
affect putting self,1
putting self issac,1
self issac shoes,1
story largely general,1
largely general completion,1
general completion objectives,1
text audio logs,1
audio logs left,1
logs left behind,1
left behind ishimura,1
behind ishimura unlucky,1
ishimura unlucky crew,1
graphics little dated,1
yet hold well,1
hold well impressed,1
well impressed visuals,1
battle creatively designed,1
creatively designed abominations,1
designed abominations known,1
abominations known necromorphs,1
probably brutal unforgiving,1
brutal unforgiving enemies,1
unforgiving enemies encountered,1
enemies encountered video,1
weapons varied interesting,1
allowing give brutal,1
give brutal effect,1
brutal effect killings,1
weapons upgradable collecting,1
upgradable collecting tokens,1
collecting tokens known,1
giving another feeling,1
another feeling progression,1
feeling progression power,1
dead space awesome,1
space awesome needed,1
awesome needed addition,1
needed addition survival,1
addition survival horror,1
survival horror genre,1
pc unless xbox,1
unless xbox controller,1
answer happen russia,1
happen russia atomic,1
russia atomic bombs,1
know top rts,1
top rts next,1
rts next rest,1
next rest c,1
rest c amp,1
c amp c,1
natural selection re,1
selection re casual,1
re casual aliens,1
model subscribed appea,1
subscribed appea screen,1
crash simulator anymore,1
u kicking wouter,1
batman arkham city,1
arkham city goty,1
city goty review,1
orignal guts though,1
xcom strategy turn,1
strategy turn turn,1
turn turn earth,1
turn earth invaded,1
earth invaded angry,1
invaded angry aliens,1
angry aliens goal,1
aliens goal save,1
goal save planet,1
save planet go,1
planet go place,1
go place 3,1
place 3 control,1
3 control countries,1
control countries panic,1
countries panic levels,1
armor upgrades capture,1
upgrades capture aliens,1
capture aliens alive,1
aliens alive interrogate,1
alive interrogate puny,1
interrogate puny jets,1
puny jets destroy,1
jets destroy shipp,1
destroy shipp 100,1
shipp 100 times,1
100 times size,1
xcom turn based,1
commander human base,1
human base defending,1
base defending earth,1
defending earth attacked,1
earth attacked aliens,1
beat basic trying,1
basic trying dlc,1
self great tend,1
great tend repeat,1
tend repeat stuff,1
adding dlc adds,1
adds extra every,1
extra every tools,1
every tools mec,1
tools mec suits,1
new aliens kill,1
aliens kill killed,1
sure fight stealth,1
fight stealth guys,1
stealth guys waiting,1
guys waiting jump,1
waiting jump face,1
half way dlc,1
way dlc felt,1
dlc felt extra,1
felt extra missions,1
fight humans seem,1
humans seem evil,1
seem evil humans,1
right now base,1
now base aliens,1
base aliens attacking,1
wondered target normal,1
target normal think,1
normal think call,1
think call attack,1
call attack group,1
attack group winning,1
group winning vs,1
winning vs guess,1
vs guess done,1
guess done yet,1
done yet maybe,1
okay logging proper,1
logging proper hours,1
proper hours review,1
hours review attention,1
new player new,1
player new xcom,1
new xcom series,1
install let sit,1
go buy expansion,1
basically eu roids,1
bought bigger monitor,1
anyone probs installing,1
probs installing ew,1
installing ew pretty,1
ew pretty brain,1
pretty brain farts,1
wanders gets high,1
gets high forgets,1
high forgets installed,1
hit executable sits,1
executable sits kinda,1
sits kinda gives,1
anyway stuff fourms,1
eu installed installed,1
installed installed ew,1
installed ew disc,1
activated key steam,1
key steam installing,1
steam dl ed,1
dl ed installed,1
delete whole non,1
whole non sense,1
non sense associated,1
sense associated folders,1
restart let steam,1
let steam way,1
steam way dl,1
launch splash screen,1
splash screen letting,1
screen letting select,1
letting select want,1
select want go,1
unknown enemy within,1
title sounds poignant,1
two layers xcom,1
geopolitical global layer,1
global layer protecting,1
layer protecting earth,1
protecting earth whole,1
earth whole alien,1
whole alien invasion,1
turn based battles,1
based battles aliens,1
job sure xcom,1
sure xcom initiative,1
xcom initiative proper,1
initiative proper funds,1
coverage protect world,1
protect world extraterrestrial,1
world extraterrestrial threat,1
well ensuring individual,1
ensuring individual skirmishes,1
individual skirmishes push,1
skirmishes push aliens,1
push aliens back,1
lowering panic present,1
panic present around,1
present around world,1
key success managing,1
success managing battles,1
despite conglomerate world,1
conglomerate world best,1
world best minds,1
pick choose help,1
choose help aliens,1
help aliens strike,1
assisting country distress,1
country distress call,1
distress call literally,1
call literally means,1
literally means refusing,1
means refusing help,1
refusing help nations,1
leads panic increasing,1
panic increasing countries,1
increasing countries chose,1
countries chose ignore,1
mechanically re offered,1
re offered missions,1
offered missions take,1
missions take place,1
take place countries,1
place countries part,1
countries part xcom,1
mission gives rewards,1
gives rewards completion,1
creates opportunity costs,1
opportunity costs helping,1
costs helping different,1
helping different countries,1
different countries around,1
countries around world,1
perhaps egypt low,1
egypt low panic,1
low panic rate,1
panic rate offering,1
rate offering donate,1
offering donate group,1
donate group scientists,1
australia high panic,1
high panic rate,1
offering monetary reward,1
may need scientists,1
maybe re falling,1
re falling behind,1
falling behind arms,1
behind arms race,1
arms race losing,1
race losing soldiers,1
losing soldiers alien,1
soldiers alien advanced,1
alien advanced weaponry,1
don help australia,1
help australia pull,1
australia pull funding,1
pull funding initiative,1
funding initiative end,1
initiative end month,1
save world whole,1
help australia hopes,1
australia hopes cover,1
hard choices name,1
choices extend tactical,1
extend tactical layer,1
tactical layer well,1
sergeant rookie critically,1
rookie critically wounded,1
valuable long term,1
long term aliens,1
proven track record,1
well several skills,1
several skills associated,1
skills associated class,1
rookie valuable later,1
perhaps receive promotion,1
receive promotion ll,1
promotion ll support,1
ll support desperately,1
support desperately need,1
maybe ll another,1
ll another already,1
another already numerous,1
already numerous snipers,1
ensuring proven soldier,1
mention soldier dies,1
re dead forever,1
losing soldier huge,1
soldier huge deal,1
lot xcom comes,1
xcom comes short,1
comes short term,1
short term vs,1
term vs long,1
vs long term,1
long term decisions,1
sometimes difficult figure,1
increased exponentially enemy,1
exponentially enemy within,1
enemy within expansion,1
within expansion given,1
expansion given options,1
given options genetically,1
haven dabbled genetic,1
dabbled genetic mods,1
know cybernetic modifications,1
cybernetic modifications involve,1
modifications involve taking,1
involve taking soldier,1
taking soldier commission,1
soldier commission week,1
surgically amputating limbs,1
bright side arms,1
side arms legs,1
arms legs replaced,1
legs replaced badass,1
replaced badass robo,1
badass robo limbs,1
interface powerful mec,1
powerful mec suits,1
idea cutting limbs,1
pull wounded soldiers,1
wounded soldiers mec,1
soldiers mec troops,1
warhammer 40k dreadnaught,1
40k dreadnaught robocop,1
dreadnaught robocop going,1
plus heal faster,1
heal faster way,1
currently running campaign,1
running campaign normal,1
easier side difficulty,1
side difficulty curve,1
within month lost,1
month lost eight,1
lost eight soldiers,1
point losing eight,1
losing eight soldiers,1
eight soldiers almost,1
soldiers almost fail,1
almost fail state,1
soldiers picked apart,1
picked apart unfortunate,1
apart unfortunate critical,1
unfortunate critical hits,1
critical hits tore,1
hits tore unupgraded,1
tore unupgraded armor,1
somehow managed spring,1
managed spring back,1
spring back heavy,1
back heavy losses,1
haven recruited enough,1
recruited enough support,1
enough support soldiers,1
support soldiers cover,1
soldiers cover lost,1
favorite soldier current,1
soldier current campaign,1
current campaign member,1
campaign member squads,1
member squads got,1
squads got wiped,1
felt strong bitterness,1
strong bitterness towards,1
bitterness towards aliens,1
sent various missions,1
various missions eventually,1
missions eventually gravely,1
eventually gravely wounded,1
became mechanized soldier,1
nine feet tall,1
unquenchable thirst alien,1
thirst alien blood,1
earned nick name,1
fits now cybernetically,1
now cybernetically enhanced,1
cybernetically enhanced bitterness,1
penchant blowing things,1
favorite things xcom,1
stories soldiers gather,1
soldiers gather around,1
actual story xcom,1
story xcom rather,1
xcom rather barebones,1
soldiers become characters,1
soldier country origin,1
eventually nick name,1
xcom hard wants,1
hard wants break,1
fight back eventually,1
back eventually break,1
truly epic memorable,1
epic memorable experience,1
part re fighting,1
either claw way,1
sometimes skin teeth,1
ll story tell,1
something memorable always,1
memorable always happens,1
become attached xcom,1
sequel comes february,1
turns exactly diablo,1
exactly diablo path,1
diablo path exile,1
pick re kind,1
cheaper diablo 3,1
diablo 3 hack,1
3 hack n,1
hack n slash,1
n slash smile,1
sensing addiction levels,1
addiction levels 900,1
battlestar galactica type,1
phalanx takes look,1
takes look reboot,1
look reboot classic,1
reboot classic person,1
classic person nazi,1
person nazi stomper,1
nazi stomper machine,1
kill nazi soldiers,1
nazi super soldiers,1
kill nazi dogs,1
kill nazi robot,1
nazi robot dogs,1
nazi super robot,1
super robot dogs,1
use super secret,1
super secret tech,1
secret tech kill,1
tech kill nazis,1
listen people speak,1
people speak lots,1
speak lots german,1
tis similar rage,1
ghost sleeping dogs,1
liked original hong,1
original hong kong,1
hong kong action,1
kong action movies,1
probably buy now,1
buy now cheap,1
lo pan impale,1
pan impale dude,1
impale dude swordfish,1
dude swordfish point,1
similar open world,1
key differences set,1
differences set apart,1
sleeping dogs deep,1
serious story found,1
story found interesting,1
combat centered mainly,1
centered mainly around,1
mainly around hand,1
around hand hand,1
sleeping dogs setting,1
favorite video settings,1
better gta recent,1
gta recent gtas,1
sleeping dogs great,1
dogs great sandbox,1
great sandbox excellent,1
sandbox excellent fighting,1
excellent fighting mechanics,1
story brings characters,1
brings characters life,1
without annoying missions,1
annoying missions bring,1
worth every penny,1
alan wake 2,1
alan wake recommended,1
wake recommended friend,1
friend lost recommendation,1
lost recommendation priveleges,1
american nightmare essentially,1
nightmare essentially 3,1
essentially 3 small,1
3 small maps,1
small maps 3,1
maps 3 times,1
things slightly different,1
story presented episodes,1
twilight zone alike,1
narrated night springs,1
night springs voice,1
started noticed flashlight,1
noticed flashlight battery,1
flashlight battery went,1
battery went empty,1
went empty full,1
empty full 3,1
full 3 seconds,1
gun given 9mm,1
given 9mm pistol,1
9mm pistol 10,1
pistol 10 round,1
10 round magazine,1
knew different experience,1
story passable clamoring,1
passable clamoring alan,1
clamoring alan wake,1
radio shows star,1
filling little details,1
little details world,1
details world npcs,1
world npcs wouldn,1
uses abundance live,1
abundance live action,1
live action clips,1
action clips occasionally,1
clips occasionally used,1
overall story nowhere,1
story nowhere near,1
nowhere near due,1
scenario restraining real,1
restraining real progress,1
atmosphere suffers greatly,1
suffers greatly trusty,1
greatly trusty revolver,1
trusty revolver shotgun,1
revolver shotgun limited,1
shotgun limited ammo,1
limited ammo becoming,1
ammo becoming full,1
becoming full auto,1
full auto combat,1
auto combat shotguns,1
fill ammo batteries,1
becomes straight 3rd,1
straight 3rd person,1
3rd person shooter,1
person shooter flashlight,1
shooter flashlight gimmick,1
flashlight gimmick unfortunate,1
adds enemy types,1
enemy types increased,1
types increased firepower,1
least thought went,1
seems half achievements,1
half achievements focus,1
achievements focus around,1
focus around arcade,1
around arcade portion,1
didn d fill,1
d fill alan,1
fill alan wake,1
alan wake combat,1
thta necessariyl bad,1
got plentyof end,1
plentyof end american,1
end american nightmare,1
enjoyed combat arcade,1
combat arcade section,1
arcade section likely,1
section likely right,1
likely right alley,1
fan alan wake,1
none liked original,1
liked gunplay combat,1
gunplay combat system,1
combat system alan,1
system alan wake,1
re jonesing bit,1
jonesing bit story,1
may ma happened,1
got hours entertainment,1
lara croft butt,1
croft butt review,1
tomb raider 3rd,1
raider 3rd person,1
person action platformers,1
action platformers spend,1
platformers spend looking,1
spend looking lara,1
looking lara bottom,1
lara bottom matter,1
check hours hours,1
hours hours indeed,1
hours indeed nice,1
indeed nice lovely,1
nice lovely behold,1
lovely behold well,1
behold well formed,1
exactly lara crost,1
lara crost buns,1
well formed keeping,1
formed keeping us,1
climbing ladders opening,1
ladders opening chests,1
lara croft buttocks,1
croft buttocks described,1
buttocks described perfect,1
described perfect combination,1
perfect combination tight,1
visible glute muscles,1
words bum perfect,1
bum perfect almost,1
perfect almost every,1
almost every way,1
every way possible,1
overall lara crofts,1
perfect rate 10,1
score review 9,1
review 9 5,1
came experience original,1
experience original tomb,1
original tomb raider,1
tomb raider expectations,1
raider expectations based,1
expectations based upon,1
based upon seeped,1
upon seeped popular,1
seeped popular culture,1
popular culture lara,1
culture lara croft,1
guardian light excellent,1
light excellent bear,1
excellent bear almost,1
bear almost relation,1
strikingly looking though,1
looking though run,1
though run highest,1
run highest settings,1
set pieces open,1
pieces open sections,1
open sections fit,1
sections fit together,1
fit together nicely,1
together nicely cinematic,1
nicely cinematic feel,1
way areas climb,1
areas climb subtly,1
climb subtly highlighted,1
subtly highlighted makes,1
highlighted makes obvious,1
makes obvious without,1
obvious without making,1
without making look,1
making look unnatural,1
start focused surviving,1
focused surviving becomes,1
surviving becomes apparent,1
becomes apparent supernatural,1
apparent supernatural forces,1
supernatural forces work,1
supernatural elements build,1
elements build well,1
build well remain,1
well remain fairly,1
remain fairly understated,1
fairly understated suspend,1
understated suspend disbelief,1
suspend disbelief doesn,1
disbelief doesn ridiculous,1
skill tree weapons,1
tree weapons great,1
weapons great allowing,1
great allowing satisfying,1
allowing satisfying gameplay,1
satisfying gameplay reasonable,1
gameplay reasonable difficulty,1
reasonable difficulty curve,1
difficulty curve throughout,1
weak point gameplay,1
point gameplay quick,1
gameplay quick events,1
quick event happens,1
event happens doesn,1
happens doesn flash,1
doesn flash button,1
flash button need,1
flashes symbol underneath,1
symbol underneath short,1
underneath short sentence,1
short sentence actually,1
sentence actually tells,1
actually tells button,1
tells button need,1
need press die,1
means early stages,1
early stages witness,1
stages witness repeated,1
witness repeated gruesome,1
autosave point frequent,1
point frequent doesn,1
frequent doesn annoying,1
couple things different,1
things different expectations,1
smaller emphasis puzzle,1
emphasis puzzle solving,1
puzzle solving expecting,1
main puzzle sections,1
puzzle sections mostly,1
sections mostly isolated,1
mostly isolated optional,1
isolated optional tombs,1
optional tombs reward,1
tombs reward maps,1
reward maps collectables,1
expecting lara seems,1
lara seems genuinely,1
seems genuinely interested,1
genuinely interested archaeology,1
artefacts documents collect,1
documents collect throughout,1
collect throughout many,1
throughout many help,1
many help flesh,1
help flesh storyline,1
flesh storyline hint,1
storyline hint going,1
sometime odd things,1
odd things annoy,1
firstly lara receives,1
lara receives severe,1
receives severe abdominal,1
severe abdominal wound,1
abdominal wound start,1
wound start cured,1
start cured venison,1
cured venison forgotten,1
sheer size population,1
size population island,1
hundreds people island,1
people island evidence,1
island evidence many,1
evidence many killed,1
many killed yet,1
killed yet evidence,1
yet evidence women,1
evidence women children,1
women children perpetuate,1
children perpetuate population,1
surely constant stream,1
constant stream people,1
stream people stranded,1
people stranded island,1
stranded island noticed,1
relatively small irritations,1
small irritations put,1
irritations put excellent,1
tomb rader released,1
rader released march,1
released march 2013,1
bought years ago,1
leap faith simulator,1
mountain climbing 101,1
climbing 101 guide,1
archery simulator 2013,1
simulator 2013 etc,1
lara crew stranded,1
crew stranded island,1
stranded island dragon,1
